y,ds
0.0,2020-01-01
-0.009558152572302286,2020-01-02
-0.022058441353203624,2020-01-03
-0.009168485801296637,2020-01-04
-0.024313699194053226,2020-01-05
-0.03074864952455183,2020-01-06
-0.03240605612432139,2020-01-07
-0.042752900054078426,2020-01-08
-0.049058254071256455,2020-01-09
-0.04205032964714292,2020-01-10
-0.04789590017109171,2020-01-11
-0.035528336881455735,2020-01-12
-0.04155174130141093,2020-01-13
-0.029541397508590517,2020-01-14
-0.03409827462041935,2020-01-15
-0.0401269112465691,2020-01-16
-0.04909463588613087,2020-01-17
-0.07076577240548515,2020-01-18
-0.06428465601539325,2020-01-19
-0.05366364282706196,2020-01-20
-0.0557250138988449,2020-01-21
-0.06890072891890064,2020-01-22
-0.051149031046653866,2020-01-23
-0.03287474566166185,2020-01-24
-0.030998615549192452,2020-01-25
-0.049344937238606015,2020-01-26
-0.07928304667864694,2020-01-27
-0.06668425516590623,2020-01-28
-0.05423803588320283,2020-01-29
-0.038466076974430975,2020-01-30
-0.02179912952352809,2020-01-31
-0.008571043607513531,2020-02-01
-0.02672243214041649,2020-02-02
-0.035692438765513354,2020-02-03
-0.029418985676942254,2020-02-04
-0.031238364667928727,2020-02-05
-0.02599949230628011,2020-02-06
-0.013157672699126786,2020-02-07
-0.019962992675634467,2020-02-08
-0.020588672353281955,2020-02-09
-0.008953398376997431,2020-02-10
-0.02917911505220061,2020-02-11
-0.03040644249870377,2020-02-12
-0.02750065686675111,2020-02-13
-0.027841989282312997,2020-02-14
-0.03262893593814522,2020-02-15
-0.027091952570441898,2020-02-16
-0.038525396953608064,2020-02-17
-0.023926760225452738,2020-02-18
-0.03144062301816823,2020-02-19
-0.03922734706124803,2020-02-20
-0.04147388606633677,2020-02-21
-0.04269839481464663,2020-02-22
-0.04574226891820765,2020-02-23
-0.026615754625403363,2020-02-24
-0.03783631604866719,2020-02-25
-0.032416567226139226,2020-02-26
-0.03823451322902386,2020-02-27
-0.020050060626590167,2020-02-28
0.01584721582529772,2020-02-29
0.01556920530797422,2020-03-01
0.02895953548505769,2020-03-02
0.018488819978069414,2020-03-03
0.011279102037224287,2020-03-04
0.014324439179830796,2020-03-05
0.014221156656558692,2020-03-06
0.01497918599576464,2020-03-07
0.01436368099572354,2020-03-08
0.00981144079403084,2020-03-09
0.009545882721231802,2020-03-10
0.007064268791119859,2020-03-11
0.01403006378528928,2020-03-12
0.016656858819027537,2020-03-13
0.022129380859408188,2020-03-14
0.01713631110979813,2020-03-15
0.0067025334836408774,2020-03-16
-0.005718906782419143,2020-03-17
-0.013828407138770782,2020-03-18
-0.018379567057391386,2020-03-19
-0.020545597895564975,2020-03-20
-0.022291785901500515,2020-03-21
-0.032706167391486254,2020-03-22
-0.030644222249154217,2020-03-23
-0.033758731449392274,2020-03-24
-0.0456287536480525,2020-03-25
-0.04566386440143718,2020-03-26
-0.04112839214221953,2020-03-27
-0.04470661925050319,2020-03-28
-0.033354497005384974,2020-03-29
-0.0336243115945533,2020-03-30
-0.044295609036108734,2020-03-31
-0.04437038101416314,2020-04-01
-0.031680497571872315,2020-04-02
-0.028036445463244,2020-04-03
-0.0202872696470669,2020-04-04
-0.023734686737406963,2020-04-05
-0.05030113392902227,2020-04-06
-0.04838373383576649,2020-04-07
-0.06269722708723739,2020-04-08
-0.07110547279311433,2020-04-09
-0.0598900140523722,2020-04-10
-0.07012043860935299,2020-04-11
-0.06979041405603413,2020-04-12
-0.05944940282696115,2020-04-13
-0.04496091074813812,2020-04-14
-0.04131506518294928,2020-04-15
-0.04716837821158613,2020-04-16
-0.06087049453174639,2020-04-17
-0.07337331186795838,2020-04-18
-0.07478287750396012,2020-04-19
-0.07785810313451418,2020-04-20
-0.07001656264419741,2020-04-21
-0.0806582640891815,2020-04-22
-0.06466035738649478,2020-04-23
-0.07066643696459117,2020-04-24
-0.08353469072852236,2020-04-25
-0.09447053057527471,2020-04-26
-0.08820160583084558,2020-04-27
-0.09586170662463717,2020-04-28
-0.09534835612587304,2020-04-29
-0.09758953521916952,2020-04-30
-0.09104919147756046,2020-05-01
-0.08390825392521295,2020-05-02
-0.07645710608929894,2020-05-03
-0.08078761869838269,2020-05-04
-0.08791798418373604,2020-05-05
-0.0881638640422743,2020-05-06
-0.07457085197248604,2020-05-07
-0.05114612369384805,2020-05-08
-0.057054745124461556,2020-05-09
-0.0532420115810958,2020-05-10
-0.04767395879198903,2020-05-11
-0.04709453148536365,2020-05-12
-0.04676412825073955,2020-05-13
-0.04424617839868054,2020-05-14
-0.0434787987890627,2020-05-15
-0.03208510326779171,2020-05-16
-0.046727226115773936,2020-05-17
-0.047016072375576506,2020-05-18
-0.05947092482407538,2020-05-19
-0.07395120178164326,2020-05-20
-0.05453367312817169,2020-05-21
-0.037164609483005276,2020-05-22
-0.04356244151089385,2020-05-23
-0.05287533919487042,2020-05-24
-0.05160060694546768,2020-05-25
-0.05437531075216442,2020-05-26
-0.05002841058420058,2020-05-27
-0.04566624882602964,2020-05-28
-0.04883822431589337,2020-05-29
-0.033882562142828865,2020-05-30
-0.0450683516657425,2020-05-31
-0.037248718214436774,2020-06-01
-0.0349869047000735,2020-06-02
-0.0404339933138359,2020-06-03
-0.04787218091742787,2020-06-04
-0.03349924260067449,2020-06-05
-0.04473596819451625,2020-06-06
-0.03567873240935702,2020-06-07
