y,ds
0.0,2020-01-01
0.03396873558788208,2020-01-02
0.02989161323621958,2020-01-03
0.09220662861418372,2020-01-04
0.07865601625742621,2020-01-05
0.06759667384154383,2020-01-06
0.059074400870245576,2020-01-07
0.07330886967240624,2020-01-08
0.07807935292012003,2020-01-09
0.09845602533860856,2020-01-10
0.06991086169882023,2020-01-11
0.027753103473330105,2020-01-12
0.012370931780357313,2020-01-13
0.012352646962241212,2020-01-14
-0.0060516295232590864,2020-01-15
0.013733941876593905,2020-01-16
0.07709146914189899,2020-01-17
0.07828144037158012,2020-01-18
0.08222126195749142,2020-01-19
0.050511438039692394,2020-01-20
0.05288028717648454,2020-01-21
0.07456294313484471,2020-01-22
0.0661125824825453,2020-01-23
0.05540906264365786,2020-01-24
0.04896170050149241,2020-01-25
0.034692150360496075,2020-01-26
0.06726552622465795,2020-01-27
0.07633185189900528,2020-01-28
0.09655208661539312,2020-01-29
0.16147264698404118,2020-01-30
0.19268203903019523,2020-01-31
0.19555884368268517,2020-02-01
0.21233164740735422,2020-02-02
0.20309604586049432,2020-02-03
0.2571227254179992,2020-02-04
0.23483910990714102,2020-02-05
0.241748927146591,2020-02-06
0.23146880659538002,2020-02-07
0.22223680450409244,2020-02-08
0.20699801841450702,2020-02-09
0.20441097131319635,2020-02-10
0.2294258424138214,2020-02-11
0.21275313627033324,2020-02-12
0.20103411728795764,2020-02-13
0.20005523022538316,2020-02-14
0.23944629951075583,2020-02-15
0.2246367935718034,2020-02-16
0.22135883176502158,2020-02-17
0.15142170854220735,2020-02-18
0.10380979025758669,2020-02-19
0.10032343374341664,2020-02-20
0.061370864459522695,2020-02-21
0.023496059018660274,2020-02-22
0.02863941341833144,2020-02-23
0.010277066428495015,2020-02-24
0.05480988718368878,2020-02-25
0.022135543003502636,2020-02-26
0.004893482225551336,2020-02-27
-0.03606171061529733,2020-02-28
0.00047049474153447457,2020-02-29
0.0133953460311963,2020-03-01
0.03754483552689358,2020-03-02
0.01311517503492931,2020-03-03
-0.03162559909194546,2020-03-04
-0.03311710819602331,2020-03-05
-0.013245760265296277,2020-03-06
-0.012181126546661515,2020-03-07
-0.02488096394921653,2020-03-08
-0.005815680542183829,2020-03-09
0.00977673664882577,2020-03-10
0.005222990365437418,2020-03-11
0.012717731751526243,2020-03-12
