y,ds
0.0,2020-01-01
-0.012251905418363039,2020-01-02
-0.02981841965229597,2020-01-03
-0.02096988092082603,2020-01-04
-0.015683863249764524,2020-01-05
-0.0010564059772395565,2020-01-06
-0.017572437709077526,2020-01-07
-0.01928829570730812,2020-01-08
-0.020565268467416593,2020-01-09
-0.014471162391912692,2020-01-10
-0.024702217562664816,2020-01-11
-0.016942483123614096,2020-01-12
-0.006569048693317316,2020-01-13
-0.011675363712522674,2020-01-14
-0.00330839110823199,2020-01-15
0.002387688515106951,2020-01-16
-0.02159910544542846,2020-01-17
-0.007147891569323096,2020-01-18
-0.014648551367200252,2020-01-19
-0.03748955811599343,2020-01-20
-0.04151674924270901,2020-01-21
-0.04923742383752163,2020-01-22
-0.039483088666678726,2020-01-23
-0.0416353211441367,2020-01-24
-0.04298819256475965,2020-01-25
-0.028492449972259457,2020-01-26
-0.02618939527209668,2020-01-27
-0.020981615259955667,2020-01-28
0.0020782560305095607,2020-01-29
0.0026986567620142553,2020-01-30
0.007912178546644699,2020-01-31
0.0077892340343556936,2020-02-01
-0.0014137810650964979,2020-02-02
0.010286122604565809,2020-02-03
0.005967110532230779,2020-02-04
-0.0005360424383884484,2020-02-05
0.008783915477051903,2020-02-06
-0.017051477603653067,2020-02-07
-0.01493658319477923,2020-02-08
-0.004112546020109558,2020-02-09
-0.010858140038350315,2020-02-10
-0.004103952817008248,2020-02-11
-0.01883865921486105,2020-02-12
-0.017122755139393115,2020-02-13
-0.026984873311601792,2020-02-14
-0.04964117823708696,2020-02-15
-0.04273527985004684,2020-02-16
-0.04045635185994429,2020-02-17
-0.0413826362614895,2020-02-18
-0.027620056739972722,2020-02-19
-0.020036402167507822,2020-02-20
-0.0205170115099745,2020-02-21
-0.033499178691659956,2020-02-22
-0.034548804179164574,2020-02-23
-0.024801659313874354,2020-02-24
-0.016444100452554053,2020-02-25
-0.020360745314702236,2020-02-26
-0.019779493468453604,2020-02-27
-0.005302038156171446,2020-02-28
-0.0017971938197877072,2020-02-29
-0.014476510949661616,2020-03-01
-0.02676518698821962,2020-03-02
-0.027526266307405043,2020-03-03
-0.02398509258768854,2020-03-04
-0.0043710717208219375,2020-03-05
-0.005467845149768947,2020-03-06
0.013431878552920025,2020-03-07
0.0159258585299435,2020-03-08
0.013171138235645117,2020-03-09
-0.0008110791118084593,2020-03-10
-0.015405303287294702,2020-03-11
-0.014788570068721002,2020-03-12
-0.011379736407357057,2020-03-13
-0.0021410861216287456,2020-03-14
0.003793712370110444,2020-03-15
0.01921365769649843,2020-03-16
0.023828776319008413,2020-03-17
0.015086997622926058,2020-03-18
0.026678792302680592,2020-03-19
0.026876467922642505,2020-03-20
0.02679348792752358,2020-03-21
0.03744134836165516,2020-03-22
0.030986035434568345,2020-03-23
0.03493437062188865,2020-03-24
0.042840482891913514,2020-03-25
0.04565909430394256,2020-03-26
0.033565169176117855,2020-03-27
0.02934890474857595,2020-03-28
0.03418453214336667,2020-03-29
0.021558667431772552,2020-03-30
0.008627916174109747,2020-03-31
0.021541299656866505,2020-04-01
0.004235785560385941,2020-04-02
0.006862500688210154,2020-04-03
-0.003720981944795842,2020-04-04
-0.011251079986214175,2020-04-05
-0.022354245152094235,2020-04-06
-0.011524074301025002,2020-04-07
-0.007517465774201019,2020-04-08
-0.02176672859436301,2020-04-09
-0.021477531115829274,2020-04-10
-0.03550300734711023,2020-04-11
-0.07014315214738118,2020-04-12
-0.07763917200404864,2020-04-13
-0.07280765338452007,2020-04-14
-0.07806037799126775,2020-04-15
-0.06514438462746788,2020-04-16
-0.052061576597672854,2020-04-17
-0.026996866843419513,2020-04-18
-0.023141966640026802,2020-04-19
-0.028406838400175886,2020-04-20
-0.03612276001084387,2020-04-21
-0.04150556380829762,2020-04-22
-0.047644542857061,2020-04-23
-0.04674941816649665,2020-04-24
-0.06482620659629644,2020-04-25
-0.05119427644646902,2020-04-26
-0.06076808585038389,2020-04-27
-0.05883128659192232,2020-04-28
-0.050433808093260236,2020-04-29
-0.057922207667505776,2020-04-30
-0.05568476285130925,2020-05-01
-0.06770864491854069,2020-05-02
-0.06300773835602713,2020-05-03
-0.05885703362938149,2020-05-04
-0.07114666614737483,2020-05-05
-0.07030429572235289,2020-05-06
-0.08508799643060791,2020-05-07
-0.06989874442855148,2020-05-08
-0.06787409618026191,2020-05-09
-0.051852686014502984,2020-05-10
-0.04927609897748234,2020-05-11
-0.02134531871211309,2020-05-12
-0.024612370828892602,2020-05-13
-0.017045238196947997,2020-05-14
0.004510680701416532,2020-05-15
-0.030736934470990657,2020-05-16
-0.04465467454134068,2020-05-17
-0.04568434287464172,2020-05-18
-0.0481647993003154,2020-05-19
-0.0519904412785622,2020-05-20
-0.047455956970333855,2020-05-21
-0.0438067710109274,2020-05-22
-0.054059956754422066,2020-05-23
-0.06594004802590706,2020-05-24
-0.08612703917534056,2020-05-25
-0.08580485257679812,2020-05-26
-0.09852569541332165,2020-05-27
-0.08615907117909173,2020-05-28
-0.07847030958021312,2020-05-29
-0.07078346013686856,2020-05-30
-0.06657430411097523,2020-05-31
-0.06763627659558799,2020-06-01
-0.07339005989286095,2020-06-02
-0.06907408228854449,2020-06-03
-0.06176509932940703,2020-06-04
-0.07384015573989765,2020-06-05
-0.06663194988670122,2020-06-06
-0.06556776259128518,2020-06-07
-0.06719170550195314,2020-06-08
-0.06332728653000463,2020-06-09
-0.07382603644897613,2020-06-10
-0.08498055085396858,2020-06-11
-0.07784236279916786,2020-06-12
-0.06245275694048795,2020-06-13
-0.07024942264014206,2020-06-14
-0.05371597532902801,2020-06-15
-0.05611596688658092,2020-06-16
-0.04941553730064693,2020-06-17
-0.031595731147000705,2020-06-18
-0.03560832935573385,2020-06-19
-0.034331827428448355,2020-06-20
-0.04717320969413413,2020-06-21
-0.051521818693848816,2020-06-22
-0.03867967335924373,2020-06-23
-0.03531302030707045,2020-06-24
-0.018430769284530246,2020-06-25
